label_id,artifact_type,artifact_id,artifact_name,workspace_id,workspace_name,sensitivity_label,label_applied_by,label_applied_date,is_inherited,protection_enabled
LBL-DS-011,Dataset,DS-011,Finance Consolidated,WS-006,Michigan Auto - Finance,Internal,exec.admin@michiganauto.com,2026-01-08,False,False
LBL-DS-012,Dataset,DS-012,Production Planning,WS-001,Michigan Auto - Production,Confidential,exec.admin@michiganauto.com,2026-02-01,False,False
LBL-DS-013,Dataset,DS-013,Dev - FAR Test,WS-008,Michigan Auto - Dev,Confidential,ds.lead@michiganauto.com,2025-12-21,False,False
LBL-DS-014,Dataset,DS-014,Dev - 8:15 Test,WS-008,Michigan Auto - Dev,Highly Confidential,john.smith@michiganauto.com,2026-05-05,False,False
LBL-DS-015,Dataset,DS-015,Dev - Maintenance Test,WS-008,Michigan Auto - Dev,Highly Confidential,john.smith@michiganauto.com,2026-01-17,False,False
LBL-DS-016,Dataset,DS-016,UAT - FAR,WS-009,Michigan Auto - UAT,Confidential,exec.admin@michiganauto.com,2026-03-08,False,False
LBL-DS-017,Dataset,DS-017,UAT - 8:15,WS-009,Michigan Auto - UAT,Highly Confidential,maint.mgr@michiganauto.com,2026-05-04,False,False
LBL-DS-018,Dataset,DS-018,Inventory & Parts,WS-004,Michigan Auto - Maintenance,Confidential,john.smith@michiganauto.com,2025-12-21,False,False
LBL-DS-019,Dataset,DS-019,Shift Scheduling,WS-001,Michigan Auto - Production,Confidential,ops.lead@michiganauto.com,2026-01-28,True,False
LBL-DS-020,Dataset,DS-020,Customer Quality,WS-013,Michigan Auto - Supply Chain,Internal,john.smith@michiganauto.com,2026-02-21,False,False
